nro_identificacion;bgi_30;acierta_plus;score_trview;edad_cliente;INGRESOS;cupo_max_TDC;tiene_telcos;tiene_real;tiene_coop;ant_max;ant_real;ant_telcos;meses_ultima_apr_tdc;meses_ultima_apr_cab;num_tdc;util_tdc_rot;cant_mora_30;cant_mora_60;telcos;ciudad_exp;entidad_cupo_max;nro_ahor_mer;nro_corr_mer;nro_cons_2m_tdc_mer;nro_cons_2m_cab_mer;sector_real
1;0;637;80;30;1490000;0;1;1;1;NULL;1.75;2.42;NULL;NULL;0;0;0;0;3;PITALITO;;0.00;4.00;0;1;2
2;0;707;53;31;3080000;500000;1;1;0;4.00;7.33;6.92;68,4;NULL;1;0,191616766;0;0;1;SANTA MARTA;BANCO SERFINANSA S.A;2.00;2.00;0;0;1
3;0;802;162;43;2484000;0;1;1;1;0.25;3.92;11.25;NULL;NULL;0;0;0;0;2;ITAGUI;;0.00;2.00;0;1;1
4;1;429;57;43;3627000;4000000;1;0;0;11.75;-1.00;5.92;144,4333333;NULL;2;0,276973586;0;0;5;BOGOTA D.C.;ITAU CORPBANCA TC;0.00;0.00;0;0;0
5;1;580;26;42;1242000;0;1;1;0;4.67;1.58;6.08;NULL;18,7;0;0;1;1;2;BOGOTA D.C.;;0.00;0.00;0;1;2
6;0;751;105;43;4173000;5000000;1;1;0;4.42;0.83;5.08;43,03333333;21,66666667;3;0,913464827;0;0;5;MANZANARES;BANCOLOMBIA VISA;2.00;4.00;0;1;1
7;0;789;156;59;2211000;0;1;1;1;-1.00;0.92;7.83;NULL;NULL;0;0;0;0;2;IBAGUE;;0.00;0.00;0;0;1
8;0;689;42;34;1556000;0;0;1;0;-1.00;2.92;-1.00;NULL;NULL;0;0;0;0;0;QUIBDO;;0.00;4.00;0;0;3
9;0;695;80;27;2012000;0;1;1;1;-1.00;0.92;3.67;NULL;NULL;0;0;0;0;1;ZIPAQUIRA;;0.00;2.00;0;1;1
10;0;732;97;30;2434000;2000000;1;0;0;0.92;-1.00;3.25;24,73333333;NULL;2;0,777690082;0;0;1;NEIVA;BANCO SERFINANSA S.A;0.00;2.00;0;1;0
11;0;801;139;32;2633000;12650000;1;1;0;8.08;7.75;4.25;66,36666667;NULL;6;0,162690769;0;0;1;IBAGUE;B. FALLABELLA;0.00;0.00;0;0;2
12;0;705;17;32;9887000;1540000;1;1;1;4.50;0.25;4.50;43,03333333;17,66666667;2;1;3;0;1;IBAGUE;B. FALLABELLA;0.00;2.00;0;3;1
13;0;606;35;42;2103000;0;0;0;1;-1.00;-1.00;-1.00;NULL;NULL;0;0;0;0;0;BUCARAMANGA;;0.00;0.00;0;0;0
14;1;655;57;36;7312000;15000000;1;0;0;4.75;-1.00;9.67;61,26666667;30,86666667;2;0,847997992;0;0;6;CUCUTA;B. FALLABELLA;0.00;2.00;0;1;0
15;0;674;87;53;3237000;5100000;0;0;0;4.17;-1.00;-1.00;23,73333333;NULL;3;0,708637578;0;0;0;ARMENIA;TUYA S.A.;0.00;2.00;1;0;0
16;0;834;163;61;17994000;30000000;1;0;0;13.83;-1.00;16.08;52,13333333;42;7;0,084048312;0;0;5;BOGOTA D.C.;BANCOLOMBIA VISA;12.00;0.00;1;1;0
17;0;863;167;65;4480000;5750000;0;0;0;4.25;-1.00;-1.00;71,4;24,73333333;1;0,40010433;0;0;0;BOGOTA D.C.;BANCO SERFINANSA S.A;0.00;2.00;0;0;0
18;1;680;55;63;3088000;2436000;1;1;0;6.33;0.33;2.50;21,66666667;21,66666667;4;1;0;0;2;BOGOTA D.C.;TUYA S.A.;0.00;2.00;0;2;4
19;1;439;32;69;2028000;3500000;1;1;0;6.50;1.67;3.83;NULL;NULL;1;1;0;2;2;MEDELLIN;BCO DAVIVIENDA;0.00;2.00;0;1;1
20;0;829;162;36;27700000;50000000;1;0;0;7.67;-1.00;5.67;22,7;66,36666667;4;0,207430868;0;0;4;MEDELLIN;BCO COLPATRIA;0.00;4.00;0;1;0
21;0;768;131;65;1258000;0;1;1;1;2.50;0.42;4.25;NULL;NULL;0;0,628148148;0;0;1;ARMENIA;;0.00;0.00;0;0;6
22;0;691;113;42;2881000;0;1;0;1;0.33;-1.00;5.33;NULL;NULL;0;0;0;0;1;SANTA MARTA;;0.00;0.00;0;1;0
23;0;763;134;54;1896000;0;1;0;0;0.33;-1.00;2.17;NULL;NULL;0;0;0;0;1;SARAVENA;;0.00;0.00;0;0;0
24;0;715;72;33;2177000;700000;1;1;0;-1.00;1.92;4.83;NULL;NULL;1;0,853067047;0;0;3;BOGOTA D.C.;CREDIVALORES CREDIUNO;0.00;0.00;0;2;3
25;1;462;14;29;2782000;1500000;0;1;0;2.33;0.33;-1.00;48,06666667;NULL;2;1;2;1;0;BOGOTA D.C.;CREDIFACIL COLPATRIA;0.00;6.00;0;3;2
26;0;736;131;50;2153000;1000000;1;1;0;NULL;1.08;4.42;25,76666667;NULL;2;0,892440074;0;0;2;SINCELEJO;BANCO SERFINANSA S.A;0.00;4.00;0;0;1
